Country,Site,Species,Scientific,time,N,phi_lower,phi_expected,phi_upper,g_lower,g_expected,g_upper,K_lower,K_expected,K_upper,b0_lower,b0_expected,b0_upper,f0_total_lower,f0_total_expected,f0_total_upper,theta_mexico,theta_legal_lower,theta_legal_expected,theta_legal_upper,p_lower,p_expected,p_upper,beta_lower,beta_expected,beta_upper,c_lower,c_expected,c_upper,disc_lower,disc_expected,disc_upper,gamma_p,gamma_c,lambda
Mexico,BC and BCS,Red lobster,Panulirus interruptus,20,1,0.188,0.188,0.188,0.031649832,0.031649832,0.031649832,67507.04917,67507.04917,67507.04917,0.9,0.9,0.9,1.365065145,1.365065145,1.365065145,1,0.853486846,0.853486846,0.853486846,11019.13769,11019.13769,11019.13769,1.3,1.3,1.3,343630752.4,343630752.4,343630752.4,0,0,0,1.1,0.9,0.0825
Mexico,Campeche Bank,Mero,Epinephelus morio,20,1,0.188,0.188,0.188,0.063299663,0.063299663,0.063299663,505113.4306,505113.4306,505113.4306,0.8,0.8,0.8,2.493683066,2.493683066,2.493683066,1,0.919797346,0.919797346,0.919797346,2511.366769,2511.366769,2511.366769,1.3,1.3,1.3,353123372.4,353123372.4,353123372.4,0,0,0,1.3,0.8,0.222857143
Mexico,Sinaloa,Robalo,Centropomus robalito,20,1,0.188,0.188,0.188,0.079124579,0.079124579,0.079124579,7047.869545,7047.869545,7047.869545,0.4,0.4,0.4,4.528174362,4.528174362,4.528174362,1,0.933748134,0.933748134,0.933748134,3415.40204,3415.40204,3415.40204,1.3,1.3,1.3,3143987.242,3143987.242,3143987.242,0,0,0,1.1,0.9,0.471428571
Mexico,Pacific,Dorado,Coryphaena hippurus,20,1,0.188,0.188,0.188,0.109191919,0.109191919,0.109191919,88235.75313,88235.75313,88235.75313,0.912280702,0.912280702,0.912280702,2.136645625,2.136645625,2.136645625,1,0.719186002,0.719186002,0.719186002,2578.125,2578.125,2578.125,1.3,1.3,1.3,89916295.38,89916295.38,89916295.38,0,0,0,1.2,0.6,1.028571429
Mexico,Pacifico Norte,Pacific abalone,Haliotis sorenseni,20,1,0.188,0.188,0.188,0.023487341,0.023487341,0.023487341,169681.3971,169681.3971,169681.3971,1.15,1.15,1.15,0.312309409,0.312309409,0.312309409,1,0.839902358,0.839902358,0.839902358,19270.92858,19270.92858,19270.92858,1.3,1.3,1.3,1971380705,1971380705,1971380705,0,0,0,1.2,0.9,0.0225
Mexico,Gulf of California,Sea cucumber,Isostichopus fuscus,20,1,0.188,0.188,0.188,0.015824916,0.015824916,0.015824916,2691.341242,2691.341242,2691.341242,0.48,0.48,0.48,5.392435416,5.392435416,5.392435416,1,0.888733021,0.888733021,0.888733021,1987.725543,1987.725543,1987.725543,1.3,1.3,1.3,859663.9496,859663.9496,859663.9496,0,0,0,1.1,0.8,0.707142857
Mexico,Sonora and Sinaloa,Swimming crab,Callinectes bellicosus,20,1,0.188,0.188,0.188,0.174074074,0.174074074,0.174074074,63507.74584,63507.74584,63507.74584,0.9,0.9,0.9,3.19025391,3.19025391,3.19025391,1,0.905963598,0.905963598,0.905963598,957.9518796,957.9518796,957.9518796,1.3,1.3,1.3,20901396.06,20901396.06,20901396.06,0,0,0,1.3,0.75,0.365625
Mexico,Not Specified,Queen conch,Strombus gigas,20,1,0.188,0.188,0.188,0.063299663,0.063299663,0.063299663,7847.737144,7847.737144,7847.737144,0.15,0.15,0.15,5.946802409,5.946802409,5.946802409,1,0.966368481,0.966368481,0.966368481,6875,6875,6875,1.3,1.3,1.3,2169767.255,2169767.255,2169767.255,0,0,0,1.4,0.8,0.24
Mexico,BCS and Sinaloa,Chocolate clam,Megapitaria squalida,20,1,0.188,0.188,0.188,0.03956229,0.03956229,0.03956229,33491.22145,33491.22145,33491.22145,0.8,0.8,0.8,2.748714124,2.748714124,2.748714124,1,0.890858057,0.890858057,0.890858057,590.2878117,590.2878117,590.2878117,1.3,1.3,1.3,7385041.706,7385041.706,7385041.706,0,0,0,1.2,0.9,0.3375
Mexico,BCS,Mano de Leon scallop,Nodipecten subnodosus ,20,1,0.188,0.188,0.188,0.047474747,0.047474747,0.047474747,6705.102463,6705.102463,6705.102463,0.9375,0.9375,0.9375,2.115148643,2.115148643,2.115148643,1,0.929082998,0.929082998,0.929082998,12031.25,12031.25,12031.25,1.3,1.3,1.3,24112740.94,24112740.94,24112740.94,0,0,0,1.4,0.8,0.1125
Mexico,Sonora,Caracol chino negro,Hyporthodus nigritus ,20,1,0.188,0.188,0.188,0.063299663,0.063299663,0.063299663,14757.40386,14757.40386,14757.40386,0.5,0.5,0.5,4.918369472,4.918369472,4.918369472,1,0.918672234,0.918672234,0.918672234,1806.365864,1806.365864,1806.365864,1.3,1.3,1.3,3782937.214,3782937.214,3782937.214,0,0,0,1.1,0.9,0.628571429
Mexico,BCS Pacific,Langostilla,Pleuroncodes planipes,20,1,0.188,0.188,0.188,0.237373737,0.237373737,0.237373737,5027.442652,5027.442652,5027.442652,1.5,1.5,1.5,0.578680842,0.578680842,0.578680842,1,0.913596587,0.913596587,0.913596587,770,770,770,1.3,1.3,1.3,2106579.199,2106579.199,2106579.199,0,0,0,1.1,0.95,0.016666667
Mexico,Sonora,Triggerfish,Ballistes polylepis,20,1,0.188,0.188,0.188,0.03956229,0.03956229,0.03956229,20392.8528,20392.8528,20392.8528,0.3,0.3,0.3,4.622465039,4.622465039,4.622465039,1,0.913466084,0.913466084,0.913466084,1718.75,1718.75,1718.75,1.3,1.3,1.3,4901214.209,4901214.209,4901214.209,0,0,0,1.1,0.9,0.628571429
